planet_name,host_name,number_stars,number_planets,discovery_method,discovery_year,discovery_facility,orbital_period,semimajor_axis,planet_radius,planet_mass_E,planet_mass_J,planet_eccentricity,planet_eq_temp,star_spectype,star_teff,star_radius,star_mass,star_age,system_distance,system_vmag,system_gaiamag
HD 124330 b,HD 124330,1,1,Radial Velocity,2021,Haute-Provence Observatory,270.66,0.86,14,238.3713053,0.75,0.34,,G4 IV,5873,1.30446,1.15,,60.1977,7.88,7.71674
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,0.78,14,228.836453,0.72,0.27,,K3,5012,0.896193,0.909,,52.5697,9.38,9.15305
HD 211403 b,HD 211403,1,1,Radial Velocity,2021,Haute-Provence Observatory,223.8,0.768,12.8,1760.769375,5.54,0.084,380,F7 V,6273,1.206,1.2,,83.0919,8.48,8.34865
Kepler-1868 b,Kepler-1868,1,1,Transit,2021,Kepler,211.0339966,0.62348,3.14950109,10.1,0.0317,0,215,,4658,0.686,0.743,14,274.18,14.157,13.8592
Kepler-1750 b,Kepler-1750,1,1,Transit,2021,Kepler,205.9120026,0.6785,6.00434637,30.1,0.0947,0,298,,5644,0.969,0.981,0.5,1497.33,15.702,15.5339
TIC 172900988 b,TIC 172900988 Aa,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),200.452,0.90281,11.25,942,2.96386345,0.0271,,F9,6050,1.3842,1.2384,3.1,250.956,10.141,10.0477
Kepler-1311 d,Kepler-1311,1,3,Transit,2021,Kepler,197.5110016,0.68434,9.65837605,67.5,0.212,0,391,,5616,1.674,1.032,7.59,866.331,13.528,13.3176
TYC 0434-04538-1 b,TYC 0434-04538-1,1,1,Radial Velocity,2021,Multiple Observatories,193.2,0.66,12.7,1938.763,6.1,0.08,,,4679,9.99,1.04,,613.422,10.247,9.92369
HIP 34222 b,HIP 34222,1,1,Radial Velocity,2021,Cerro Tololo Inter-American Observatory,159.986,0.492,13.9,263.7975778,0.83,0.305,,K7 V,4050,0.6186,0.62,,22.8386,10.14,9.57701
Kepler-1881 b,Kepler-1881,1,1,Transit,2021,Kepler,159.3939972,0.53325,2.98104391,9.17,0.0289,0,289,,5135,0.874,0.812,0.9,1057.21,15.898,15.8603
Kepler-281 d,Kepler-281,1,3,Transit,2021,Kepler,148.2720032,0.5456,5.93747806,654,2.05771412,0,321,,5717,0.884,0.984,0.6,1745.45,15.931,15.7537
Kepler-1718 b,Kepler-1718,1,1,Transit,2021,Kepler,135.1880035,0.48418,2.5685207,7.12,0.0224,0,345,,5731,0.906,0.846,10.72,375.522,12.821,12.735
Kepler-1840 b,Kepler-1840,1,1,Transit,2021,Kepler,131.1900024,0.46206,2.77771129,8.13,0.0256,0,284,,4898,0.803,0.774,14,513.107,15.192,15.0578
Kepler-1936 b,Kepler-1936,1,1,Transit,2021,Kepler,126.5569992,0.52662,3.16615594,10.2,0.032,0,524,,6501,1.854,1.419,2.57,871.096,13.393,13.3235
Kepler-196 d,Kepler-196,1,3,Transit,2021,Kepler,122.0800018,0.4545,2.66065673,7.56,0.0238,0,297,,5132,0.77,0.805,3.09,451.312,14.239,14.1033
Kepler-1780 b,Kepler-1780,1,1,Transit,2021,Kepler,109.4449997,0.4276,3.60600667,12.7,0.0399,0,340,,5403,0.868,0.868,0.6,790.516,14.907,14.9304
Kepler-1766 b,Kepler-1766,1,1,Transit,2021,Kepler,105.0149994,0.4161,2.27904508,5.81,0.0183,0,406,,5868,1.042,0.915,12.02,501.229,12.96,12.8705
HD 96700 d,HD 96700,1,3,Radial Velocity,2021,La Silla Observatory,103.5,0.424,3.61,12.7,0.03995867,0.27,,G0 V,5845,1.16,0.89,8.6,25.4111,6.51,6.35547
Kepler-1883 b,Kepler-1883,1,1,Transit,2021,Kepler,103.427002,0.4438,3.25107395,10.6,0.0334,0,416,,6208,1.024,1.086,,1377.61,15.642,15.5406
Kepler-1810 b,Kepler-1810,1,1,Transit,2021,Kepler,101.1330032,0.4137,3.91815325,14.6,0.0459,0,380,,5492,1.016,0.921,4.5,1009.87,15.4,15.2968
Kepler-1824 b,Kepler-1824,1,1,Transit,2021,Kepler,95.61100006,0.4267,2.38127597,6.26,0.0197,0,421,,6002,1.081,1.135,0.33,1040.1,14.976,14.6752
Kepler-1816 b,Kepler-1816,1,1,Transit,2021,Kepler,91.50099945,0.35647,1.9679397,4.53,0.0143,0,310,,5051,0.706,0.786,0.7,437.823,14.734,14.4553
Kepler-1769 b,Kepler-1769,1,1,Transit,2021,Kepler,89.1934967,0.40598,4.465,18.2,0.0573,0,483,,6071,1.295,1.061,1.02,438.412,12.487,12.445
Kepler-1771 b,Kepler-1771,1,1,Transit,2021,Kepler,88.64399719,0.3815,4.05537256,15.5,0.0487,0,391,,5661,0.934,0.941,0.8,565.752,13.802,13.7005
Kepler-1858 b,Kepler-1858,1,1,Transit,2021,Kepler,88.07160187,0.3575,2.42168247,6.44,0.0203,0,330,,4939,0.819,0.785,0.7,833.055,15.959,15.6406
Kepler-1775 b,Kepler-1775,1,1,Transit,2021,Kepler,85.65399933,0.39565,3.64762153,12.9,0.0406,0,522,,5818,1.647,1.149,2.57,657.023,13.429,13.2765
Kepler-1789 b,Kepler-1789,1,1,Transit,2021,Kepler,80.23190308,0.3543,2.83137505,8.4,0.0264,0,380,,5436,0.888,0.92,4.5,611.461,14.449,14.3155
Kepler-1786 b,Kepler-1786,1,1,Transit,2021,Kepler,78.5460968,0.35722,3.16305828,10.1,0.0319,0,501,,5808,1.397,1.058,7.76,863.909,14.088,14.0789
Kepler-1811 b,Kepler-1811,1,1,Transit,2021,Kepler,76.42230225,0.3462,3.84829873,14.1,0.0445,0,455,,5561,1.19,0.946,0.4,1390.56,15.327,15.1431
Kepler-1927 b,Kepler-1927,1,1,Transit,2021,Kepler,73.75039673,0.38733,3.40627075,11.5,0.0362,0,677,,6056,2.481,1.408,2.88,1091,13.312,13.2168
Kepler-1764 b,Kepler-1764,1,1,Transit,2021,Kepler,70.46829987,0.3512,4.55527871,18.8,0.0593,0,511,,6461,1.131,1.162,0.24,1542.48,14.91,14.7454
Kepler-1709 b,Kepler-1709,1,1,Transit,2021,Kepler,65.70459747,0.32704,3.12424875,9.93,0.0312,0,472,,5918,1.043,1.003,2.34,273.946,11.642,11.6176
Kepler-1737 b,Kepler-1737,1,1,Transit,2021,Kepler,64.61750031,0.297,5.395,25.1,0.079,0,383,,5043,0.881,0.834,13.7,,15.498,15.3741
Kepler-1774 b,Kepler-1774,1,1,Transit,2021,Kepler,59.77080154,0.29496,3.18179549,10.2,0.0322,0,522,,6214,1.122,1.101,2.5,816.592,14.02,13.8899
Kepler-1767 b,Kepler-1767,1,1,Transit,2021,Kepler,59.65829849,0.2873,3.01299077,9.34,0.0294,0,393,,5243,0.831,0.887,0.6,820.506,16.206,15.7151
Kepler-1929 b,Kepler-1929,1,1,Transit,2021,Kepler,59.36249924,0.30883,3.07250761,9.65,0.0304,0,566,,5786,1.471,1.006,6.92,508.201,11.788,12.072
Kepler-1849 b,Kepler-1849,1,1,Transit,2021,Kepler,57.29290009,0.2597,2.38685349,6.29,0.0198,0,355,,4806,0.729,0.709,13.5,631.884,15.997,15.7002
Kepler-1874 b,Kepler-1874,1,1,Transit,2021,Kepler,56.57320023,0.2633,2.21110724,5.52,0.0174,0,356,,4701,0.775,0.758,13.8,408.007,15.434,14.9565
Kepler-1830 b,Kepler-1830,1,1,Transit,2021,Kepler,56.49330139,0.31769,3.32992941,11.1,0.0348,0,681,,6160,2.046,1.443,2.4,1056.88,13.605,13.4841
Kepler-1752 b,Kepler-1752,1,1,Transit,2021,Kepler,56.35850143,0.2698,4.54060463,18.7,0.059,0,419,,5446,0.821,0.824,7.2,962.888,16.0249,15.796
HD 13808 c,HD 13808,1,2,Radial Velocity,2021,La Silla Observatory,53.753,0.2554,3.13,9.96,0.03133751,0.156,,K2 V,5035,0.781,0.771,7.2,28.2305,8.36,8.11006
TOI-201 b,TOI-201,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),52.97818,0.3,11.298672,133.4886,0.42,0.28,759,F6 V,6394,1.317,1.316,0.87,113.825,9.07,8.94004
Kepler-1923 b,Kepler-1923,1,1,Transit,2021,Kepler,52.60969925,0.2846,1.95958179,4.5,0.0142,0,553,,5881,1.294,1.109,,990.838,14.454,14.2312
Kepler-616 d,Kepler-616,1,3,Transit,2021,Kepler,51.06740189,0.2749,2.653,7.52,0.0237,0,499,,6004,0.977,1.061,0.4,945.775,15.021,14.9475
GJ 414 A b,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,50.8,0.2324,2.63,7.6,0.02391215,0.45,308.6,K7 V,4120,0.68,0.65,12.4,11.8893,8.31,7.72808
Kepler-1742 b,Kepler-1742,1,1,Transit,2021,Kepler,49.47819901,0.2587,2.1782413,5.38,0.0169,0,462,,5776,0.849,0.939,0.5,669.573,14.512,14.3735
Kepler-1853 b,Kepler-1853,1,1,Transit,2021,Kepler,48.88819885,0.2395,1.51862272,2.92,0.00918,0,386,,4821,0.788,0.765,14,562.348,15.229,15.0482
Kepler-1918 b,Kepler-1918,1,1,Transit,2021,Kepler,47.0564003,0.2524,2.29763023,5.89,0.0185,0,497,,5889,0.924,0.967,,1030.11,15.533,15.7023
Kepler-1925 b,Kepler-1925,1,1,Transit,2021,Kepler,46.71640015,0.2588,3.00177922,9.28,0.0292,0,531,,5856,1.092,1.057,,1771.31,15.382,15.1821
HD 93385 d,HD 93385,1,3,Radial Velocity,2021,La Silla Observatory,45.85,0.2565,2.89,8.7,0.02737326,0.09,,G2/G3 V,5977,1.18484,1.04,3.3,43.3475,7.49,7.33769
Kepler-1863 b,Kepler-1863,1,1,Transit,2021,Kepler,44.99760056,0.23678,2.26309256,5.74,0.0181,0,508,,5871,0.983,1.097,12.02,865.546,13.64,13.4479
Kepler-1896 b,Kepler-1896,1,1,Transit,2021,Kepler,44.87020111,0.2529,3.09935997,9.8,0.0308,0,536,,6122,0.996,1.07,,1732.91,15.844,15.7001
Kepler-1817 b,Kepler-1817,1,1,Transit,2021,Kepler,44.29919815,0.2348,2.27349126,5.79,0.0182,0,463,,5316,0.915,0.878,0.4,748.569,15.346,15.1345
Kepler-1926 b,Kepler-1926,1,1,Transit,2021,Kepler,42.87770081,0.2197,2.31495961,5.97,0.0188,0,451,,5256,0.832,0.768,,667.405,15.8,15.6668
Kepler-1090 c,Kepler-1090,1,2,Transit,2021,Kepler,42.42720032,0.22622,3.29265785,10.9,0.0342,0,496,,5330,1.013,0.869,12.59,858.77,15.31,14.9963
K2-138 g,K2-138,1,6,Transit,2021,K2,41.96797,0.23109,3.013,4.32,0.01359217,0.059,445,G8 V,5356.3,0.863,0.935,2.8,202.585,12.246,12.0252
Kepler-1965 b,Kepler-1965,1,1,Transit,2021,Kepler,41.86869812,0.22971,1.35415138,2.4,0.00756,0,492,,5852,0.837,0.928,4.57,521.791,13.839,13.6415
HD 164922 e,HD 164922,1,4,Radial Velocity,2021,Multiple Observatories,41.763,0.2292,3.23,10.52012027,0.0331,0.086,,G9 V,5393.43,1.001813,0.921146,9.58,22.0016,7.01227,6.78614
HD 5278 c,HD 5278,1,2,Radial Velocity,2021,Paranal Observatory,40.87,0.2416,4.49,18.4,0.05789287,0.07,,F V,6203,1.194,1.126,3,57.5846,7.94,7.80375
Kepler-1773 b,Kepler-1773,1,1,Transit,2021,Kepler,40.80970001,0.24831,3.50469499,12.1,0.038,0,623,,6183,1.3,1.241,2.91,681.255,13.085,12.9455
Kepler-1861 b,Kepler-1861,1,1,Transit,2021,Kepler,40.0306015,0.24082,2.20677414,5.5,0.0173,0,617,,5855,1.373,1.161,4.57,829.985,13.709,13.6519
Kepler-1854 b,Kepler-1854,1,1,Transit,2021,Kepler,39.83110046,0.20894,2.58746104,7.21,0.0227,0,420,,5026,0.759,0.8,12.88,423.348,14.381,14.1068
Kepler-1723 b,Kepler-1723,1,1,Transit,2021,Kepler,39.75289917,0.2249,2.88046569,8.65,0.0272,0,568,,6072,1.01,0.96,3.3,811.278,14.383,14.2875
Kepler-607 c,Kepler-607,1,2,Transit,2021,Kepler,39.67679977,0.21507,2.76001201,8.05,0.0253,0,473,,5244,0.888,0.808,7.76,519.122,14.672,14.3746
Kepler-1787 b,Kepler-1787,1,1,Transit,2021,Kepler,39.31370163,0.227,2.31898181,5.99,0.0188,0,540,,6060,0.925,1.008,0.3,778.602,14.564,14.4604
Kepler-1931 b,Kepler-1931,1,1,Transit,2021,Kepler,38.5760994,0.23329,2.65323514,7.53,0.0237,0,619,,6167,1.221,1.174,4.57,620.091,12.671,12.5586
Kepler-1760 b,Kepler-1760,1,1,Transit,2021,Kepler,38.3260994,0.2084,2.28995546,5.86,0.0184,0,480,,5229,0.903,0.821,0.6,,14.472,14.3017
Kepler-1919 b,Kepler-1919,1,1,Transit,2021,Kepler,37.88660049,0.2107,2.62390658,7.38,0.0232,0,479,,5513,0.818,0.868,,1177.53,16.161,15.8602
Kepler-1736 b,Kepler-1736,1,1,Transit,2021,Kepler,37.81029892,0.2188,3.8765856,14.3,0.0451,0,566,,6085,0.973,0.976,1.7,1430,14.808,14.6161
Kepler-1889 b,Kepler-1889,1,1,Transit,2021,Kepler,37.30369949,0.2082,2.94360686,8.98,0.0282,0,493,,5646,0.817,0.864,,1395.13,15.715,15.5173
Kepler-1744 b,Kepler-1744,1,1,Transit,2021,Kepler,37.10110092,0.20945,3.76754004,13.6,0.0429,0,532,,5986,0.85,0.886,7.76,1091.63,15.566,15.2558
K2-341 b,K2-341,1,1,Transit,2021,K2,36.552551,,3.21,10.4,0.0327,,598,,5817,1.16,0.98,,421.408,12.725,12.5585
Kepler-529 d,Kepler-529,1,3,Transit,2021,Kepler,35.86619949,0.2134,2.79502604,8.22,0.0259,0,633,,6078,1.189,1.005,0.2,799.008,13.779,13.7399
Kepler-1715 b,Kepler-1715,1,1,Transit,2021,Kepler,35.59730148,0.22429,4.14042267,16,0.0504,0,646,,6212,1.209,1.082,3.47,522.605,12.881,12.3012
Kepler-1716 b,Kepler-1716,1,1,Transit,2021,Kepler,35.58100128,0.18836,2.4247685,6.46,0.0203,0,408,,4894,0.684,0.753,7.9,195.439,13.129,12.9403
TOI-2257 b,TOI-2257,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),35.189346,0.145,2.194,5.45,0.0171,0.496,256,M3,3430,0.313,0.328,,57.7911,15.211,14.1615
TOI-2076 d,TOI-2076,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),35.125686,0.199,3.43087751,29,0.0912442,0,457.68,K,5192,0.796,0.8557,2.7,41.9091,9.139,8.91028
Kepler-1776 b,Kepler-1776,1,1,Transit,2021,Kepler,35.01190186,0.2093,2.61157023,7.33,0.023,0,603,,5872,1.153,1.041,0.6,690.336,13.68,13.5571
Kepler-1875 b,Kepler-1875,1,1,Transit,2021,Kepler,34.45859909,0.2039,3.22686692,10.5,0.033,0,559,,6161,0.862,0.95,0.3,1660.45,15.201,15.0014
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.169,0.19924,1.13,2.23,0.00701636,0,475,,5233,0.835,0.901,3.39,501.574,14.222,14.0909
HD 39194 d,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,33.91,0.185,1.83,4,0.01258541,0.333,,K0 V,5205,0.783742,0.67,10,26.4131,8.09,7.85201
HD 189567 c,HD 189567,1,2,Radial Velocity,2021,La Silla Observatory,33.688,0.197,2.54,7,0.02202446,0.16,,G3 V,5726,1.04,0.83,11,17.9055,6.074,5.9098
Kepler-1802 c,Kepler-1802,1,2,Transit,2021,Kepler,33.13610077,0.1748,2.322,6,0.0189,0,357,,4245,0.637,0.649,13.9,636.694,15.905,16.5052
Kepler-1732 b,Kepler-1732,1,1,Transit,2021,Kepler,32.31240082,0.2015,4.09903273,15.7,0.0496,0,699,,5821,1.494,1.043,2,1289.41,14.884,14.7163
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler,31.828,0.18688,1.21,10.36,0.03259621,0,686,,6001,1.255,0.858,11.48,887.064,13.831,13.7744
Kepler-1790 b,Kepler-1790,1,1,Transit,2021,Kepler,31.58889961,0.20989,3.1446145,10,0.0316,0,682,,5866,1.367,1.02,2.88,1070.17,14.179,14.0943
Kepler-1941 b,Kepler-1941,1,1,Transit,2021,Kepler,31.33510017,0.2054,2.64976949,7.51,0.0236,0,666,,6404,1.142,1.175,,1494.39,14.943,14.6228
Kepler-1916 b,Kepler-1916,1,1,Transit,2021,Kepler,31.25429916,0.2053,2.61757235,7.35,0.0231,0,635,,6246,1.092,1.18,,2055.82,15.779,15.8019
Kepler-1820 b,Kepler-1820,1,1,Transit,2021,Kepler,31.03249931,0.1964,3.11883067,9.9,0.0312,0,561,,5841,0.931,1.047,0.4,1425.39,15.759,15.6919
Kepler-1914 b,Kepler-1914,1,1,Transit,2021,Kepler,30.82789993,0.1954,2.9429803,8.97,0.0282,0,585,,5982,0.96,1.047,,1621.56,15.911,15.6826
Kepler-1717 b,Kepler-1717,1,1,Transit,2021,Kepler,30.65279961,0.2014,2.98929758,9.21,0.029,0,780,,6200,1.64,1.158,0.33,1008.79,13.323,13.3
Kepler-1920 b,Kepler-1920,1,1,Transit,2021,Kepler,30.2541008,0.2043,2.95415848,9.03,0.0284,0,660,,6277,1.161,1.239,,885.913,14.392,14.3058
HIP 5763 b,HIP 5763,1,1,Radial Velocity,2021,Cerro Tololo Inter-American Observatory,30.014,0.17,14.2,162.0924876,0.51,0.054,,K6 V,4352,0.750378,0.72,,31.9043,9.82,9.39022
Kepler-1165 c,Kepler-1165,1,2,Transit,2021,Kepler,29.96870041,0.1969,3.36093385,11.2,0.0354,0,644,,6249,1.076,1.13,0.3,1575.2,14.521,14.3923
K2-340 b,K2-340,1,1,Transit,2021,K2,29.740451,,3.36,11.2,0.0354,,606,,5532,1.13,0.93,,738.136,14.428,14.1327
HD 108236 f,HD 108236,1,5,Transit,2021,CHaracterising ExOPlanets Satellite (CHEOPS),29.54115,0.1758,2.017,4.72,0.0149,0.051,,G3 V,5660,0.877,0.869,6.7,64.5978,9.25,9.08745
Kepler-1762 b,Kepler-1762,1,1,Transit,2021,Kepler,29.53910065,0.204,2.76022913,8.05,0.0253,0,714,,6572,1.238,1.298,0.28,1663.74,15.239,15.083
Kepler-1796 b,Kepler-1796,1,1,Transit,2021,Kepler,29.4557991,0.1879,2.75047868,8,0.0252,0,598,,6036,0.949,1.018,0.4,825.883,14.493,14.354
Kepler-1952 b,Kepler-1952,1,1,Transit,2021,Kepler,27.21080017,0.1724,1.23923346,2.07,0.0065,0,725,,5973,1.305,0.922,,852.062,13.828,13.8909
Kepler-511 c,Kepler-511,1,2,Transit,2021,Kepler,26.62949944,0.17177,4.20964327,16.5,0.0518,0,742,,5866,1.417,0.958,9.12,651.999,12.711,12.5832
K2-268 f,K2-268,1,5,Transit,2021,K2,26.27057,,2.23,5.6,0.0176,,492,,5106,0.78,0.84,,327.783,13.848,13.5627
K2-346 b,K2-346,1,1,Transit,2021,K2,26.201446,,2.26,5.73,0.018,,450,,4801,0.7,0.71,,105.58,11.903,11.6828
Kepler-1841 b,Kepler-1841,1,1,Transit,2021,Kepler,25.88599968,0.1606,1.48912557,2.82,0.00888,0,542,,5190,0.899,0.823,11.6,631.7,14.855,14.5268
Kepler-1843 b,Kepler-1843,1,1,Transit,2021,Kepler,25.54339981,0.17871,2.70909809,7.8,0.0245,0,772,,5422,1.782,1.02,6.17,784.625,13.086,12.9086
Kepler-1755 b,Kepler-1755,1,1,Transit,2021,Kepler,24.81209946,0.1668,5.91688317,29.4,0.0924,0,631,,6086,0.921,1.003,0.3,982.383,14.544,14.3856
TOI-2202 c,TOI-2202,1,2,Transit Timing Variations,2021,Multiple Observatories,24.6744,0.15544,13.4,117.2786822,0.369,0.0622,,K8 V,5144,0.794,0.823,7.48,235.933,13.004,12.7606
HD 152843 c,HD 152843,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),24.38,,5.83,27.5,0.08652468,0.115,253.08,G0,6310,1.43,1.15,3.97,107.898,8.855,8.76412
Kepler-1886 b,Kepler-1886,1,1,Transit,2021,Kepler,24.2758007,0.16,2.58158428,7.18,0.0226,0,580,,5745,0.837,0.928,,1059.51,15.627,15.4559
TOI-1231 b,TOI-1231,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),24.245586,0.1288,3.65,15.4,0.04845382,0.087,329.6,M3 V,3553,0.476,0.485,,27.6227,12.36,11.36
Kepler-1897 b,Kepler-1897,1,1,Transit,2021,Kepler,24.22030067,0.1546,2.81407954,8.32,0.0262,0,505,,5165,0.761,0.859,4.2,983.174,16.01,16.0047
Kepler-633 c,Kepler-633,1,2,Transit,2021,Kepler,23.78319931,0.16246,2.296,5.89,0.0185,0,725,,5877,1.265,0.997,8.13,680.54,13.812,
Kepler-1797 b,Kepler-1797,1,1,Transit,2021,Kepler,23.3593998,0.1637,3.05774442,9.58,0.0301,0,684,,6244,1.009,1.069,0.4,1338.49,15.421,15.293
Kepler-1808 b,Kepler-1808,1,1,Transit,2021,Kepler,23.3404007,0.1467,3.02511302,9.4,0.0296,0,601,,5530,0.892,0.773,12.1,1022.01,15.424,15.2356
EPIC 212587672 c,EPIC 212587672,1,2,Transit,2021,K2,23.228555,,2.32,5.99,0.0189,,658,,6004,0.98,0.99,,320.07,12.488,12.2038
K2-331 c,K2-331,1,2,Transit,2021,K2,22.996591,,2.72,7.85,0.0247,,673,,5994,1.06,1.1,,211.43,11.305,11.1945
Kepler-1822 b,Kepler-1822,1,1,Transit,2021,Kepler,22.13339996,0.1416,2.64755943,7.5,0.0236,0,507,,5165,0.702,0.782,0.8,897.597,15.804,15.5694
Kepler-1731 b,Kepler-1731,1,1,Transit,2021,Kepler,21.76129913,0.1399,2.93295657,8.92,0.0281,0,486,,4859,0.72,0.781,2.14,169.948,12.742,12.4974
HD 63935 c,HD 63935,1,2,Radial Velocity,2021,Multiple Observatories,21.4027,0.148,3.06451296,11.1,0.03492451,0,619.59,,5513,0.9598,0.9406,6.6,48.9739,8.58,8.39353
K2-336 b,K2-336,1,1,Transit,2021,K2,21.194733,,1.22,1.98,0.00624,,569,,5424,0.8,0.86,,239.289,12.803,12.5114
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.185,0.14247,1.19,9.2,0.02894644,0,785,,6001,1.255,0.858,11.48,887.064,13.831,13.7744
Kepler-1823 b,Kepler-1823,1,1,Transit,2021,Kepler,21.10339928,0.15332,2.0861268,5,0.0157,0,718,,6000,1.126,1.068,1.88,724.971,13.477,13.3209
Kepler-1711 b,Kepler-1711,1,1,Transit,2021,Kepler,21.06080055,0.1463,1.923,4.36,0.0137,0,669,,5706,1.034,0.94,6.6,590.268,13.298,13.1844
K2-356 b,K2-356,1,1,Transit,2021,K2,21.0267366,0.1599,2.29,5.86,0.0184,,624,,5568,0.86,0.9,,355.54,13.268,13.148
TOI-2076 c,TOI-2076,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),21.015327,0.142,3.69441587,55,0.17304935,0,543.16,K,5192,0.796,0.8557,2.7,41.9091,9.139,8.91028
TOI-178 g,TOI-178,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),20.7095,0.1275,2.87,3.94,0.01239656,,470,K,4316,0.651,0.65,7.1,62.699,11.955,11.1523
Kepler-1951 b,Kepler-1951,1,1,Transit,2021,Kepler,20.65780067,0.1435,2.32107188,6,0.0189,0,728,,5468,1.306,0.923,,1277.32,14.367,14.1599
Kepler-1921 b,Kepler-1921,1,2,Transit,2021,Kepler,20.03479958,0.15865,2.89459458,8.72,0.0274,0,967,,6120,2,1.251,3.39,928.989,13.103,12.9842
Kepler-1887 b,Kepler-1887,1,1,Transit,2021,Kepler,19.94750023,0.1421,2.92454357,8.88,0.0279,0,625,,5749,0.864,0.961,0.5,1366.18,15.955,15.9544
HD 96700 c,HD 96700,1,3,Radial Velocity,2021,La Silla Observatory,19.88,0.141,1.69,3.5,0.01101223,0.293,,G0 V,5845,1.16,0.89,8.6,25.4111,6.51,6.35547
Kepler-1757 b,Kepler-1757,1,1,Transit,2021,Kepler,19.65640068,0.1335,2.94660251,8.99,0.0283,0,549,,5288,0.74,0.828,0.7,807.308,15.817,15.3679
Kepler-1468 d,Kepler-1468,1,3,Transit,2021,Kepler,19.59059906,0.1456,3.33187146,11.1,0.0349,0,819,,5794,1.496,1.072,3.55,1899.24,15.111,14.9515
Kepler-1785 b,Kepler-1785,1,1,Transit,2021,Kepler,19.58550072,0.13917,2.70422447,7.77,0.0245,0,666,,5618,0.996,0.911,0.3,745.74,14.245,14.1632
Kepler-1928 b,Kepler-1928,1,1,Transit,2021,Kepler,19.57783,0.194,1.992,4.63,0.0146,0.43,621,,5720,0.92,1.01,0.105,326.362,12.679,12.6182
K2-339 b,K2-339,1,1,Transit,2021,K2,19.507428,,1.92,4.35,0.0137,,508,,4857,0.72,0.74,,360.36,14.487,14.3436
GJ 720 A b,GJ 720 A,2,1,Radial Velocity,2021,Roque de los Muchachos Observatory,19.466,0.119,3.77,13.64,0.04291624,0.12,401,M0.5 V,3837,0.56,0.57,,15.5575,9.84,9.10496
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85969,0.1108,2.52202066,9.6,0.03020498,0.00338,459,M1,3678,0.744,0.51,0.0201,9.7221,8.81,7.84038
HD 154088 b,HD 154088,1,1,Radial Velocity,2021,La Silla Observatory,18.56,0.134,2.46,6.6,0.02076592,0.344,,K0 IV-V,5374,0.95,0.91,8,18.2692,6.59,6.36693
Kepler-1726 b,Kepler-1726,1,1,Transit,2021,Kepler,18.39629936,0.12794,2.50861954,6.84,0.0215,0,582,,5316,0.804,0.876,2.51,390.552,13.851,13.6766
TOI-257 b,TOI-257,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.38818,0.1528,7.16253867,43.86032017,0.138,0,1027,,6095,1.867,1.407,,76.9028,7.57,7.41653
HD 107148 c,HD 107148,2,2,Radial Velocity,2021,Multiple Observatories,18.3267,0.1407,4.7,19.89605828,0.0626,0.34,,G5 V,5752.92,1.169193,1.105215,5.6,49.4156,8.01,7.85111
TOI-3362 b,TOI-3362,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.09547,0.153,12.80065596,1598.359059,5.029,0.815,688,,6532,1.83,1.445,2.14,366.987,10.86,10.7051
Kepler-1713 b,Kepler-1713,1,1,Transit,2021,Kepler,18.01160049,0.14185,1.71673535,3.59,0.0113,0,900,,6477,1.459,1.3,3.72,295.293,11.065,10.8652
K2-332 b,K2-332,1,1,Transit,2021,K2,17.70632,,2.2,5.48,0.0172,,266,,3315,0.28,0.27,,123.202,,16.4791
HD 183579 b,HD 183579,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),17.471291,0.1322,3.49,20.4,0.06418558,0.061,752,G2 V,5784,0.96,0.996,3.1,57.2651,8.67,8.51549
Kepler-1903 b,Kepler-1903,1,1,Transit,2021,Kepler,17.0678997,0.1321,2.28642395,5.85,0.0184,0,769,,6347,0.996,1.053,0.23,1775.44,15.456,15.3413
Kepler-1798 b,Kepler-1798,1,1,Transit,2021,Kepler,16.85589981,0.1082,2.30911251,5.94,0.0187,0,408,,3967,0.587,0.593,13.9,395.196,16.391,15.6827
Kepler-1770 b,Kepler-1770,1,1,Transit,2021,Kepler,16.84189987,0.1261,2.84141754,8.45,0.0266,0,699,,5602,1.009,0.941,12.3,582.942,14.418,14.2972
Kepler-1725 b,Kepler-1725,1,1,Transit,2021,Kepler,16.71990013,0.13263,2.8125177,8.31,0.0261,0,767,,6020,1.085,1.049,0.89,558.652,13.153,13.0267
